zip_m,yyyy,year,mm,month,prec_mean,crime_count,name2,zipcode,county,id,n_crime,n,assault,breakingnentering,robbery,theft,ID_month
20637,2015,2015,1,1,4.6612902,15, MD,20640,Charles,8,467,1,181,56,7,174,8-1
20653,2015,2015,1,1,2.6225805,1, MD,20659,Saint Marys,18,31,1,31,14,0,56,18-1
20688,2015,2015,1,1,5.2516127,37, MD,20678,Calvert,4,95,1,13,7,0,49,4-1
20724,2015,2015,1,1,3.5645161,22, MD,21405,Anne Arundel,2,32,1,32,6,7,73,2-1
20742,2015,2015,1,1,3.7225807,117, MD,20771,Prince Georges,16,118,1,25,87,16,205,16-1
20871,2015,2015,1,1,3.4903226,1, MD,20851,Montgomery,15,1,1,257,81,24,415,15-1
21040,2015,2015,1,1,4.2354836,2, MD,21132,Harford,12,30,1,30,9,7,42,12-1
21043,2015,2015,1,1,3.8129032,1, MD,21043,Howard,13,1,1,88,30,15,199,13-1
21220,2015,2015,1,1,3.6451614,1, MD,21221,Baltimore,3,4,1,249,186,68,632,3-1
21502,2015,2015,1,1,2.5032258,46, MD,21502,Allegany,1,46,1,52,27,6,78,1-1
21638,2015,2015,1,1,5.6774192,4, MD,21638,Queen Annes,17,4,1,4,2,1,7,17-1
21639,2015,2015,1,1,6.2258067,3, MD,21639,Caroline,5,11,1,9,1,3,28,5-1
21643,2015,2015,1,1,3.7354839,1, MD,21869,Dorchester,9,23,1,9,3,0,12,9-1
21742,2015,2015,1,1,3.1483872,47, MD,21742,Washington,21,47,1,47,21,0,55,21-1
21804,2015,2015,1,1,5.6161289,201, MD,21804,Wicomico,22,201,1,33,15,6,119,22-1
21811,2015,2015,1,1,4.1451612,24, MD,21811,Worcester,23,24,1,4,6,0,13,23-1
21853,2015,2015,1,1,5.6677418,15, MD,21853,Somerset,19,15,1,8,4,0,14,19-1
21902,2015,2015,1,1,4.5032258,1, MD,21901,Cecil,7,1,1,0,0,0,0,7-1
20637,2015,2015,2,2,3.125,10, MD,20617,Charles,8,554,1,185,59,3,137,8-2
20653,2015,2015,2,2,2.2750001,6, MD,20650,Saint Marys,18,30,1,30,11,1,51,18-2
20688,2015,2015,2,2,3.925,13, MD,20688,Calvert,4,127,1,7,12,1,39,4-2
20724,2015,2015,2,2,2.4928572,22, MD,21405,Anne Arundel,2,35,1,35,4,9,73,2-2
20742,2015,2015,2,2,3.0642858,106, MD,20771,Prince Georges,16,111,1,25,44,2,167,16-2
20871,2015,2015,2,2,2.3928571,1, MD,20876,Montgomery,15,2,1,243,64,24,345,15-2
21040,2015,2015,2,2,3.2142859,2, MD,21084,Harford,12,37,1,37,8,1,47,12-2
21043,2015,2015,2,2,2.8642857,66, MD,21045,Howard,13,93,1,93,24,5,172,13-2
21220,2015,2015,2,2,2.3035715,2, MD,21252,Baltimore,3,2,1,264,134,33,569,3-2
21502,2015,2015,2,2,1.625,34, MD,21502,Allegany,1,34,1,58,20,3,58,1-2
21638,2015,2015,2,2,3.8964286,1, MD,21619,Queen Annes,17,5,1,5,2,0,3,17-2
21639,2015,2015,2,2,3.6428571,6, MD,21655,Caroline,5,8,1,14,0,1,19,5-2
21643,2015,2015,2,2,2.7785714,12, MD,21643,Dorchester,9,13,1,4,3,0,13,9-2
21742,2015,2015,2,2,2.1428571,51, MD,21742,Washington,21,51,1,51,20,5,33,21-2
21804,2015,2015,2,2,3.3928571,188, MD,21804,Wicomico,22,188,1,31,12,5,84,22-2
21811,2015,2015,2,2,2.3107142,29, MD,21811,Worcester,23,29,1,6,0,0,15,23-2
21853,2015,2015,2,2,3.6678572,20, MD,21853,Somerset,19,20,1,13,1,0,5,19-2
20637,2015,2015,3,3,4.803226,42, MD,20646,Charles,8,428,1,237,39,10,135,8-3
20653,2015,2015,3,3,1.8903226,1, MD,20653,Saint Marys,18,1,1,47,13,2,54,18-3
20688,2015,2015,3,3,4.6999998,4, MD,20736,Calvert,4,83,1,22,4,1,60,4-3
20724,2015,2015,3,3,3.2612903,17, MD,20724,Anne Arundel,2,37,1,37,9,4,91,2-3
20742,2015,2015,3,3,4.7419353,111, MD,20771,Prince Georges,16,111,1,31,56,8,226,16-3
20871,2015,2015,3,3,3.7870967,1, MD,20905,Montgomery,15,2,1,291,83,26,396,15-3
21040,2015,2015,3,3,3.6967742,1, MD,21001,Harford,12,30,1,30,16,5,43,12-3
21043,2015,2015,3,3,4.7548389,26, MD,21043,Howard,13,106,1,106,38,9,266,13-3
21220,2015,2015,3,3,3.4161291,2, MD,21252,Baltimore,3,2,1,277,171,49,752,3-3
21502,2015,2015,3,3,2.880645,40, MD,21502,Allegany,1,40,1,65,18,1,85,1-3
21638,2015,2015,3,3,4.8903227,2, MD,21619,Queen Annes,17,4,1,4,7,0,14,17-3
21639,2015,2015,3,3,4.7838707,1, MD,21629,Caroline,5,7,1,11,0,0,13,5-3
21643,2015,2015,3,3,2.7064517,2, MD,21869,Dorchester,9,22,1,8,3,0,9,9-3
21742,2015,2015,3,3,4.3548388,57, MD,21742,Washington,21,57,1,57,20,6,37,21-3
21804,2015,2015,3,3,3.2258065,162, MD,21804,Wicomico,22,162,1,46,31,9,125,22-3
21811,2015,2015,3,3,2.3129032,18, MD,21811,Worcester,23,18,1,6,2,0,20,23-3
21853,2015,2015,3,3,3.9258063,17, MD,21853,Somerset,19,17,1,10,1,0,2,19-3
20637,2015,2015,4,4,3.7266667,3, MD,20675,Charles,8,488,1,201,53,3,185,8-4
20653,2015,2015,4,4,1.6933333,2, MD,20659,Saint Marys,18,48,1,48,21,1,39,18-4
20688,2015,2015,4,4,3.6900001,4, MD,20714,Calvert,4,89,1,24,13,0,49,4-4
20724,2015,2015,4,4,4.3533335,22, MD,21405,Anne Arundel,2,38,1,38,8,3,83,2-4
20742,2015,2015,4,4,5.5799999,98, MD,20771,Prince Georges,16,99,1,36,56,8,269,16-4
20871,2015,2015,4,4,4.3366666,1, MD,20814,Montgomery,15,1,1,276,75,27,450,15-4
21040,2015,2015,4,4,2.9266667,1, MD,21040,Harford,12,1,1,52,22,1,78,12-4
21043,2015,2015,4,4,4.6166668,2, MD,21045,Howard,13,2,1,96,33,9,278,13-4
21220,2015,2015,4,4,3.4066668,1, MD,21252,Baltimore,3,1,1,326,194,40,761,3-4
21502,2015,2015,4,4,4.1199999,63, MD,21502,Allegany,1,63,1,110,32,4,118,1-4
21601,2015,2015,4,4,1.9933333,1, MD,21601,Talbot,20,1,1,0,0,0,0,20-4
21638,2015,2015,4,4,4.2600002,2, MD,21617,Queen Annes,17,4,1,4,4,0,12,17-4
21639,2015,2015,4,4,3.3366666,1, MD,21649,Caroline,5,8,1,15,2,0,29,5-4
21643,2015,2015,4,4,2.0599999,17, MD,21643,Dorchester,9,17,1,8,2,0,18,9-4
21742,2015,2015,4,4,4.8400002,45, MD,21742,Washington,21,45,1,45,25,1,72,21-4
21804,2015,2015,4,4,2.3666666,175, MD,21804,Wicomico,22,175,1,48,33,7,145,22-4
21811,2015,2015,4,4,1.7733333,18, MD,21811,Worcester,23,18,1,10,2,1,17,23-4
21853,2015,2015,4,4,3.1566665,16, MD,21853,Somerset,19,16,1,12,7,0,13,19-4
21902,2015,2015,4,4,3.1733332,1, MD,21903,Cecil,7,1,1,0,0,0,0,7-4
20637,2015,2015,5,5,3.2967741,10, MD,20640,Charles,8,560,1,259,58,6,178,8-5
20653,2015,2015,5,5,2.3193548,2, MD,20659,Saint Marys,18,43,1,43,15,2,50,18-5
20688,2015,2015,5,5,4.0387096,34, MD,20678,Calvert,4,105,1,22,7,1,92,4-5
20724,2015,2015,5,5,3.1645162,2, MD,20724,Anne Arundel,2,2,1,61,38,18,119,2-5
20742,2015,2015,5,5,2.7612903,1, MD,20607,Prince Georges,16,119,1,40,68,12,245,16-5
20871,2015,2015,5,5,3.9709678,1, MD,20876,Montgomery,15,3,1,335,86,25,499,15-5
21040,2015,2015,5,5,2.5967741,1, MD,21040,Harford,12,1,1,71,18,6,46,12-5
21043,2015,2015,5,5,3.0129032,1, MD,21043,Howard,13,4,1,107,32,11,254,13-5
21220,2015,2015,5,5,2.8290322,2, MD,21117,Baltimore,3,9,1,320,239,46,760,3-5
21502,2015,2015,5,5,3.6225805,70, MD,21502,Allegany,1,70,1,92,38,6,105,1-5
21638,2015,2015,5,5,2.4741936,4, MD,21666,Queen Annes,17,8,1,8,4,0,16,17-5
21639,2015,2015,5,5,1.916129,1, MD,21636,Caroline,5,9,1,9,0,0,16,5-5
21643,2015,2015,5,5,1.6870967,1, MD,21613,Dorchester,9,4,1,4,0,0,4,9-5
21742,2015,2015,5,5,4.2774196,57, MD,21742,Washington,21,57,1,57,27,8,80,21-5
21804,2015,2015,5,5,2.2516129,169, MD,21804,Wicomico,22,169,1,54,32,7,145,22-5
21811,2015,2015,5,5,2.4516129,16, MD,21811,Worcester,23,16,1,13,2,0,15,23-5
21853,2015,2015,5,5,2.6451614,21, MD,21853,Somerset,19,21,1,13,3,1,14,19-5
20637,2015,2015,6,6,7.0466666,2, MD,20617,Charles,8,583,1,260,82,4,186,8-6
20653,2015,2015,6,6,3.9866667,1, MD,20619,Saint Marys,18,1,1,44,14,4,63,18-6
20688,2015,2015,6,6,7.7966666,12, MD,20754,Calvert,4,93,1,18,6,1,51,4-6
20724,2015,2015,6,6,7.3299999,2, MD,20724,Anne Arundel,2,2,1,54,29,12,169,2-6
20742,2015,2015,6,6,6.9766665,1, MD,20607,Prince Georges,16,116,1,53,73,20,276,16-6
20871,2015,2015,6,6,9.5100002,2, MD,20868,Montgomery,15,3,1,299,97,37,569,15-6
21040,2015,2015,6,6,5.5533333,1, MD,21040,Harford,12,1,1,55,16,8,40,12-6
21043,2015,2015,6,6,7.6366668,1, MD,21045,Howard,13,1,1,86,33,10,195,13-6
21220,2015,2015,6,6,6.7166667,3, MD,21252,Baltimore,3,9,1,336,226,44,699,3-6
